ds,y
12/4/2019,224
12/5/2019,224
12/6/2019,224
12/7/2019,224
12/8/2019,224
12/9/2019,224
12/10/2019,226
12/11/2019,226
12/12/2019,225
12/13/2019,224
12/14/2019,223
12/15/2019,223
12/16/2019,223
12/17/2019,223
12/18/2019,225
12/19/2019,227
12/20/2019,227
12/21/2019,224
12/22/2019,224
12/23/2019,222
12/24/2019,222
12/25/2019,222
12/26/2019,222
12/27/2019,222
12/28/2019,219
12/29/2019,219
12/30/2019,219
12/31/2019,219
1/1/2020,218
1/2/2020,218
1/3/2020,220
1/4/2020,222
1/5/2020,224
1/6/2020,224
1/7/2020,224
1/8/2020,223
1/9/2020,223
1/10/2020,225
1/11/2020,225
1/12/2020,225
1/13/2020,225
1/14/2020,225
1/15/2020,226
1/16/2020,226
1/17/2020,227
1/18/2020,227
1/19/2020,227
1/20/2020,227
1/21/2020,227
1/22/2020,227
1/23/2020,227
1/24/2020,228
1/25/2020,228
1/27/2020,230
1/28/2020,230
1/29/2020,230
1/30/2020,230
1/31/2020,230
2/2/2020,231
2/3/2020,232
2/4/2020,232
2/5/2020,232
2/6/2020,232
2/10/2020,232
2/12/2020,232
2/14/2020,232
2/15/2020,233
2/16/2020,233
2/17/2020,233
2/18/2020,233
2/19/2020,232
2/20/2020,232
2/21/2020,232
2/24/2020,232
2/25/2020,232
2/26/2020,233
2/27/2020,233
2/28/2020,234
3/2/2020,234
3/3/2020,235
3/4/2020,235
3/5/2020,235
3/6/2020,235
3/7/2020,236
3/8/2020,236
3/9/2020,235
3/10/2020,235
3/11/2020,235
3/12/2020,235
3/13/2020,235
3/14/2020,235
3/15/2020,235
3/16/2020,235
3/17/2020,239
3/18/2020,240
3/19/2020,240
3/20/2020,240
3/21/2020,240
3/22/2020,236
3/23/2020,235
3/24/2020,233
3/25/2020,233
3/26/2020,233
3/27/2020,233
3/28/2020,233
3/29/2020,233
3/30/2020,233
3/31/2020,233
4/1/2020,233
4/2/2020,232
4/3/2020,229
4/4/2020,229
4/5/2020,227
4/6/2020,227
4/7/2020,228
4/8/2020,228
4/9/2020,228
4/10/2020,228
4/11/2020,228
4/12/2020,227
4/13/2020,227
4/14/2020,227
4/15/2020,227
4/16/2020,227
4/17/2020,228
4/18/2020,228
4/19/2020,228
4/20/2020,228
4/21/2020,228
4/22/2020,228
4/23/2020,227
4/24/2020,227
4/25/2020,227
4/26/2020,227
4/27/2020,227
4/28/2020,227
4/29/2020,226
4/30/2020,224
5/1/2020,224
5/2/2020,224
5/3/2020,224
5/4/2020,224
5/5/2020,224
5/6/2020,223
5/7/2020,223
5/8/2020,222
5/9/2020,222
5/10/2020,222
5/11/2020,222
5/12/2020,222
5/13/2020,222
5/14/2020,222
5/15/2020,221
5/16/2020,221
5/17/2020,221
5/18/2020,221
5/19/2020,222
5/21/2020,222
5/22/2020,221
5/23/2020,221
5/24/2020,221
5/25/2020,221
5/26/2020,221
5/27/2020,221
5/28/2020,221
5/29/2020,221
5/30/2020,220
5/31/2020,218
6/1/2020,214
6/2/2020,214
6/3/2020,220
6/4/2020,220
6/5/2020,219
6/6/2020,219
6/8/2020,219
6/9/2020,221
6/16/2020,218
6/17/2020,219
6/18/2020,219
6/19/2020,219
6/20/2020,220
6/21/2020,220
6/22/2020,220
6/23/2020,220
6/24/2020,220
6/25/2020,219
6/26/2020,219
6/27/2020,218
6/28/2020,218
6/30/2020,218
7/5/2020,217
7/6/2020,214
7/7/2020,217
7/12/2020,216
7/20/2020,215
7/27/2020,213
7/29/2020,214
7/30/2020,214
8/2/2020,219
8/3/2020,219
8/4/2020,219
8/9/2020,217
8/10/2020,217
8/11/2020,217
8/12/2020,216
8/13/2020,216
8/14/2020,214
8/15/2020,214
8/16/2020,214
8/17/2020,214
8/18/2020,214
8/19/2020,214
8/20/2020,214
8/21/2020,210
8/22/2020,209
8/23/2020,208
8/24/2020,209
